colour	y	x	group	showSelected1
#66C2A5	1.31151523067384	1	1	subtrain
#66C2A5	0.88618665182198	2	1	subtrain
#66C2A5	0.440168295472463	3	1	subtrain
#66C2A5	0.14801659982082	4	1	subtrain
#66C2A5	-0.890917280367922	5	1	subtrain
#66C2A5	-0.977714240959048	6	1	subtrain
#66C2A5	-1.13155957725798	7	1	subtrain
#66C2A5	-1.25606823998635	8	1	subtrain
#66C2A5	-1.32865785070842	9	1	subtrain
#66C2A5	-1.4496313401908	10	1	subtrain
#66C2A5	-1.54502885122278	11	1	subtrain
#66C2A5	-1.69440528132723	12	1	subtrain
#66C2A5	-1.86083886594584	13	1	subtrain
#66C2A5	-2.01761817132482	14	1	subtrain
#66C2A5	-2.17140093868612	15	1	subtrain
#66C2A5	-2.33091695542356	16	1	subtrain
#66C2A5	-2.46033005123222	17	1	subtrain
#66C2A5	-2.63059466070089	18	1	subtrain
#66C2A5	-2.85515607378863	19	1	subtrain
#66C2A5	-3.08169265830529	20	1	subtrain
#66C2A5	-3.28921845505748	21	1	subtrain
#66C2A5	-3.59275611506653	22	1	subtrain
#66C2A5	-3.8041201995945	23	1	subtrain
#66C2A5	-4.19814761258951	24	1	subtrain
#66C2A5	-4.47363075475268	25	1	subtrain
#FC8D62	1.25582448773278	1	2	validation
#FC8D62	0.833442063834326	2	2	validation
#FC8D62	0.575389233249496	3	2	validation
#FC8D62	0.369522031630523	4	2	validation
#FC8D62	-0.610342630592671	5	2	validation
#FC8D62	-0.60822002957156	6	2	validation
#FC8D62	-0.489923619558733	7	2	validation
#FC8D62	-0.436142970335679	8	2	validation
#FC8D62	-0.450819811706952	9	2	validation
#FC8D62	-0.462770594831898	10	2	validation
#FC8D62	-0.460184491417616	11	2	validation
#FC8D62	-0.465185524128205	12	2	validation
#FC8D62	-0.439372754569591	13	2	validation
#FC8D62	-0.443839507949923	14	2	validation
#FC8D62	-0.457727319089972	15	2	validation
#FC8D62	-0.469567980512965	16	2	validation
#FC8D62	-0.46757015056312	17	2	validation
#FC8D62	-0.473493998694646	18	2	validation
#FC8D62	-0.456156135003364	19	2	validation
#FC8D62	-0.451683148261859	20	2	validation
#FC8D62	-0.452577534628797	21	2	validation
#FC8D62	-0.453080087580127	22	2	validation
#FC8D62	-0.453080087580127	23	2	validation
#FC8D62	-0.454333180587714	24	2	validation
#FC8D62	-0.456203692305617	25	2	validation
